year,month,day,hour,VMC
2015,11,25,16,0.064199999
2015,11,25,17,0.064575
2015,11,25,18,0.063949998
2015,11,25,19,0.063199999
2015,11,25,20,0.062450001
2015,11,25,21,0.062074999
2015,11,25,22,0.061700001
2015,11,25,23,0.061450001
2015,11,26,0,0.0612
2015,11,26,1,0.061000001
2015,11,26,2,0.060800001
2015,11,26,3,0.060800001
2015,11,26,4,0.060550001
2015,11,26,5,0.0603
2015,11,26,6,0.0603
2015,11,26,7,0.0603
2015,11,26,8,0.06005
2015,11,26,9,0.06005
2015,11,26,10,0.06005
2015,11,26,11,0.061000001
2015,11,26,12,0.062075001
2015,11,26,13,0.063074999
2015,11,26,14,0.063199997
2015,11,26,15,0.063199997
2015,11,26,16,0.063199997
2015,11,26,17,0.063199997
2015,11,26,18,0.063574998
2015,11,26,19,0.06295
2015,11,26,20,0.062325
2015,11,26,21,0.061575001
2015,11,26,22,0.0612
2015,11,26,23,0.061000001
2015,11,27,0,0.060900001
2015,11,27,1,0.060800001
2015,11,27,2,0.060800001
2015,11,27,3,0.060800001
2015,11,27,4,0.060800001
2015,11,27,5,0.060800001
2015,11,27,6,0.060550001
2015,11,27,7,0.060550001
2015,11,27,8,0.060800001
2015,11,27,9,0.060800001
2015,11,27,10,0.060425
2015,11,27,11,0.061100001
2015,11,27,12,0.062075001
2015,11,27,13,0.063199999
2015,11,27,14,0.062825002
2015,11,27,15,0.062700003
2015,11,27,16,0.063574998
2015,11,27,17,0.063699998
2015,11,27,18,0.063699998
2015,11,27,19,0.063199999
2015,11,27,20,0.062450001
2015,11,27,21,0.061700001
2015,11,27,22,0.0612
2015,11,27,23,0.060900001
2015,11,28,0,0.060675001
2015,11,28,1,0.060425
2015,11,28,2,0.0603
2015,11,28,3,0.059924999
2015,11,28,4,0.059799999
2015,11,28,5,0.059799999
2015,11,28,6,0.05955
2015,11,28,7,0.059300002
2015,11,28,8,0.059300002
2015,11,28,9,0.059300002
2015,11,28,10,0.059300002
2015,11,28,11,0.06005
2015,11,28,12,0.061225001
2015,11,28,13,0.062700001
2015,11,28,14,0.063699998
2015,11,28,15,0.064449999
2015,11,28,16,0.0647
2015,11,28,17,0.0647
2015,11,28,18,0.064074999
2015,11,28,19,0.063075
2015,11,28,20,0.062325
2015,11,28,21,0.061450001
2015,11,28,22,0.061100001
2015,11,28,23,0.060800001
2015,11,29,0,0.060425
2015,11,29,1,0.0603
2015,11,29,2,0.059924999
2015,11,29,3,0.059799999
2015,11,29,4,0.05955
2015,11,29,5,0.059300002
2015,11,29,6,0.059300002
2015,11,29,7,0.059300002
2015,11,29,8,0.059300002
2015,11,29,9,0.059175001
2015,11,29,10,0.059300002
2015,11,29,11,0.0598
2015,11,29,12,0.061125001
2015,11,29,13,0.062574999
2015,11,29,14,0.063699998
2015,11,29,15,0.064449999
2015,11,29,16,0.0647
2015,11,29,17,0.064575
2015,11,29,18,0.063949998
2015,11,29,19,0.063075
2015,11,29,20,0.06195
2015,11,29,21,0.061450001
2015,11,29,22,0.060800001
2015,11,29,23,0.060550001
2015,11,30,0,0.0603
2015,11,30,1,0.059799999
2015,11,30,2,0.059799999
2015,11,30,3,0.059675
2015,11,30,4,0.059300002
2015,11,30,5,0.059300002
2015,11,30,6,0.059300002
2015,11,30,7,0.059300002
2015,11,30,8,0.058925001
2015,11,30,9,0.058800001
2015,11,30,10,0.059050001
2015,11,30,11,0.0598
2015,11,30,12,0.061000001
2015,11,30,13,0.062325002
2015,11,30,14,0.063449997
2015,11,30,15,0.064324999
2015,11,30,16,0.0647
2015,11,30,17,0.064324999
2015,11,30,18,0.063574998
2015,11,30,19,0.062700001
2015,11,30,20,0.061825001
2015,11,30,21,0.0612
2015,11,30,22,0.060800001
2015,11,30,23,0.060425
2015,12,1,0,0.060175
2015,12,1,1,0.059799999
2015,12,1,2,0.05955
2015,12,1,3,0.059425001
2015,12,1,4,0.059300002
2015,12,1,5,0.059300002
2015,12,1,6,0.059175001
2015,12,1,7,0.058800001
2015,12,1,8,0.058800001
2015,12,1,9,0.058800001
2015,12,1,10,0.058800001
2015,12,1,11,0.05955
2015,12,1,12,0.060775001
2015,12,1,13,0.062075001
2015,12,1,14,0.063324999
2015,12,1,15,0.063949998
2015,12,1,16,0.064199999
2015,12,1,17,0.064199999
2015,12,1,18,0.063324999
2015,12,1,19,0.062450001
2015,12,1,20,0.061450001
2015,12,1,21,0.060900001
2015,12,1,22,0.060550001
2015,12,1,23,0.060175
2015,12,2,0,0.059799999
2015,12,2,1,0.059675
2015,12,2,2,0.059425001
2015,12,2,3,0.059300002
2015,12,2,4,0.059300002
2015,12,2,5,0.058925001
2015,12,2,6,0.058800001
2015,12,2,7,0.058800001
2015,12,2,8,0.058800001
2015,12,2,9,0.058675
2015,12,2,10,0.05855
2015,12,2,11,0.059300001
2015,12,2,12,0.060775001
2015,12,2,13,0.061950001
2015,12,2,14,0.063075
2015,12,2,15,0.063949998
2015,12,2,16,0.064199999
2015,12,2,17,0.064199999
2015,12,2,18,0.063574998
2015,12,2,19,0.062574999
2015,12,2,20,0.061450001
2015,12,2,21,0.060900001
2015,12,2,22,0.060425
2015,12,2,23,0.0603
2015,12,3,0,0.06005
2015,12,3,1,0.059799999
2015,12,3,2,0.059799999
2015,12,3,3,0.059425001
2015,12,3,4,0.059300002
2015,12,3,5,0.059300002
2015,12,3,6,0.059300002
2015,12,3,7,0.058800001
2015,12,3,8,0.058800001
2015,12,3,9,0.058800001
2015,12,3,10,0.058800001
2015,12,3,11,0.059425001
2015,12,3,12,0.06065
2015,12,3,13,0.06195
2015,12,3,14,0.063199999
2015,12,3,15,0.063824998
2015,12,3,16,0.064199999
2015,12,3,17,0.064074999
2015,12,3,18,0.063574998
2015,12,3,19,0.062700001
2015,12,3,20,0.061825001
2015,12,3,21,0.061000001
2015,12,3,22,0.060800001
2015,12,3,23,0.060675001
2015,12,4,0,0.0603
2015,12,4,1,0.059799999
2015,12,4,2,0.059799999
2015,12,4,3,0.059425001
2015,12,4,4,0.059300002
2015,12,4,5,0.059300002
2015,12,4,6,0.059300002
2015,12,4,7,0.059300002
2015,12,4,8,0.058925001
2015,12,4,9,0.058800001
2015,12,4,10,0.058925001
2015,12,4,11,0.059675001
2015,12,4,12,0.060775001
2015,12,4,13,0.062325002
2015,12,4,14,0.063449997
2015,12,4,15,0.064199999
2015,12,4,16,0.0647
2015,12,4,17,0.064449999
2015,12,4,18,0.063824998
2015,12,4,19,0.062825002
2015,12,4,20,0.062325
2015,12,4,21,0.061700001
2015,12,4,22,0.061450001
2015,12,4,23,0.0612
2015,12,5,0,0.061000001
2015,12,5,1,0.060800001
2015,12,5,2,0.060800001
2015,12,5,3,0.060550001
2015,12,5,4,0.0603
2015,12,5,5,0.0603
2015,12,5,6,0.059799999
2015,12,5,7,0.059924999
2015,12,5,8,0.059799999
2015,12,5,9,0.059675
2015,12,5,10,0.059675
2015,12,5,11,0.0603
2015,12,5,12,0.061350001
2015,12,5,13,0.062700001
2015,12,5,14,0.063699998
2015,12,5,15,0.064449999
2015,12,5,16,0.0647
2015,12,5,17,0.064575
2015,12,5,18,0.063824998
2015,12,5,19,0.06295
2015,12,5,20,0.06195
2015,12,5,21,0.061450001
2015,12,5,22,0.061000001
2015,12,5,23,0.060800001
2015,12,6,0,0.0603
2015,12,6,1,0.06005
2015,12,6,2,0.059799999
2015,12,6,3,0.059799999
2015,12,6,4,0.059425001
2015,12,6,5,0.059300002
2015,12,6,6,0.059300002
2015,12,6,7,0.059300002
2015,12,6,8,0.058925001
2015,12,6,9,0.058800001
2015,12,6,10,0.058925001
2015,12,6,11,0.059675001
2015,12,6,12,0.060875
2015,12,6,13,0.062325002
2015,12,6,14,0.063074999
2015,12,6,15,0.063699998
2015,12,6,16,0.063699998
2015,12,6,17,0.063699998
2015,12,6,18,0.063199999
2015,12,6,19,0.062325002
2015,12,6,20,0.061575001
2015,12,6,21,0.061000001
2015,12,6,22,0.060800001
2015,12,6,23,0.0603
2015,12,7,0,0.0603
2015,12,7,1,0.059924999
2015,12,7,2,0.059799999
2015,12,7,3,0.059799999
2015,12,7,4,0.059425001
2015,12,7,5,0.059300002
2015,12,7,6,0.059300002
2015,12,7,7,0.059050001
2015,12,7,8,0.058800001
2015,12,7,9,0.058800001
2015,12,7,10,0.058800001
2015,12,7,11,0.05955
2015,12,7,12,0.060775001
2015,12,7,13,0.062075001
2015,12,7,14,0.063324999
2015,12,7,15,0.064199999
2015,12,7,16,0.064324999
2015,12,7,17,0.064199999
2015,12,7,18,0.063699998
2015,12,7,19,0.062700001
2015,12,7,20,0.061700001
2015,12,7,21,0.061100001
2015,12,7,22,0.060675001
2015,12,7,23,0.0603
2015,12,8,0,0.059799999
2015,12,8,1,0.059675
2015,12,8,2,0.059300002
2015,12,8,3,0.059300002
2015,12,8,4,0.059175001
2015,12,8,5,0.058800001
2015,12,8,6,0.058800001
2015,12,8,7,0.058800001
2015,12,8,8,0.058800001
2015,12,8,9,0.058800001
